time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-05T06:19:04.590Z,14.4969,123.9312,17.87,6.1,mww,,29,7.556,1.05,us,us1000dym9,2018-05-07T02:06:59.172Z,"56km NNW of Pandan, Philippines",earthquake,7.7,4.1,0.071,19,reviewed,us,us
2018-05-04T22:32:55.920Z,19.4237,-155.0379,5,6.9,mww,,20,0.033,1.44,us,us1000dyad,2018-05-08T01:53:26.809Z,"10km SSE of Fern Acres, Hawaii",earthquake,5.3,1.8,0.056,31,reviewed,us,us
2018-05-04T21:32:46.120Z,19.4446,-155.1367,5.1,5.4,mww,,25,0.057,0.94,us,us1000dy8n,2018-05-07T23:51:30.999Z,"9km SW of Fern Acres, Hawaii",earthquake,6.1,3,0.098,10,reviewed,us,us
2018-05-03T20:30:56.500Z,19.3442,-155.0702,6.93,5,mb,,172,0.05,0.7,us,us1000dxhr,2018-05-05T12:21:37.479Z,"18km S of Fern Acres, Hawaii",earthquake,7.4,4.8,,,reviewed,hv,hv
2018-04-23T00:46:08.900Z,33.921,-116.3216667,8.25,3.87,mw,101,27,0.07503,0.15,ci,ci37920791,2018-05-04T03:44:06.040Z,"13km NNE of Thousand Palms, CA",earthquake,0.09,0.32,,4,reviewed,ci,ci
2018-04-20T00:01:35.370Z,42.1192,-83.0196,3.28,3.4,mwr,,27,0.507,0.69,us,us1000dny9,2018-05-08T02:54:15.122Z,"2km E of Amherstburg, Canada",earthquake,1.7,2.9,0.098,10,reviewed,us,us
2018-04-16T16:39:26.470Z,37.4346667,-121.773,9.31,3.82,mw,216,31,0.02682,0.12,nc,nc73000196,2018-04-29T17:43:34.016Z,"9km NNE of Alum Rock, CA",earthquake,0.07,0.16,,6,reviewed,nc,nc
2018-04-10T10:19:34.030Z,-30.9862,-71.5566,76.08,6.2,mww,,96,0.318,1.17,us,us2000dxfc,2018-05-04T21:11:02.817Z,"54km SW of Ovalle, Chile",earthquake,7.3,5.4,0.047,44,reviewed,us,us
2018-04-09T10:22:20.050Z,36.2165,-97.582,3.89,4.5,mwr,,36,0.124,0.17,us,us2000dwui,2018-04-24T02:14:56.530Z,"27km WSW of Perry, Oklahoma",earthquake,0.6,3,0.028,125,reviewed,us,us
